time_unix,monotonic,target_heading_rad,heading_error_rad,source_angle_deg,source_angle_error_deg
1778618876.597,9173.606,0.0,0.0,0.0,0.0
1778618877.099,9174.108,0.0,0.0,0.0,0.0
1778618877.600,9174.609,0.0,0.0,0.0,0.0
1778618878.102,9175.111,0.0,0.0,0.0,0.0
1778618878.603,9175.612,0.0,0.0,0.0,0.0
1778618879.105,9176.114,0.0,0.0,0.0,0.0
1778618879.606,9176.615,0.0,0.0,0.0,0.0
1778618880.108,9177.117,0.0,0.0,0.0,0.0
1778618880.609,9177.618,0.0,0.0,0.0,0.0
1778618881.111,9178.120,0.0,0.0,0.0,0.0
1778618881.612,9178.621,0.0,0.0,0.0,0.0
1778618882.114,9179.123,0.0,0.0,0.0,0.0
1778618882.615,9179.624,0.0,0.0,0.0,0.0
1778618883.117,9180.126,0.0,0.0,0.0,0.0
1778618883.618,9180.627,0.0,0.0,0.0,0.0
1778618884.119,9181.129,0.0,0.0,0.0,0.0
1778618884.621,9181.630,0.0,0.0,0.0,0.0
1778618885.122,9182.131,0.0,0.0,0.0,0.0
1778618885.624,9182.633,0.0,0.0,0.0,0.0
1778618886.125,9183.135,0.0,0.0,0.0,0.0
1778618886.627,9183.636,0.0,0.0,0.0,0.0
1778618887.128,9184.138,0.0,0.0,0.0,0.0
1778618887.630,9184.639,0.0,0.0,0.0,0.0
1778618888.131,9185.140,0.0,0.0,0.0,0.0
1778618888.633,9185.642,0.0,0.0,0.0,0.0
1778618889.134,9186.143,0.0,0.0,0.0,0.0
1778618889.636,9186.645,0.0,0.0,0.0,0.0
1778618890.137,9187.146,0.0,0.0,0.0,0.0
1778618890.639,9187.648,0.0,0.0,0.0,0.0
1778618891.090,9188.099,0.0,0.0,0.0,0.0
1778618891.592,9188.601,0.0,0.0,0.0,0.0
1778618892.093,9189.102,0.0,0.0,0.0,0.0
1778618892.595,9189.604,0.0,0.0,0.0,0.0
1778618893.097,9190.106,0.0,0.0,0.0,0.0
1778618893.598,9190.607,0.0,0.0,0.0,0.0
1778618894.099,9191.109,0.0,0.0,0.0,0.0
1778618894.601,9191.610,0.0,0.0,0.0,0.0
1778618895.102,9192.112,0.0,0.0,0.0,0.0
1778618895.604,9192.613,0.0,0.0,0.0,0.0
1778618896.105,9193.115,0.0,0.0,0.0,0.0
1778618896.607,9193.616,0.0,0.0,0.0,0.0
1778618897.109,9194.118,0.0,0.0,0.0,0.0
1778618897.610,9194.619,0.0,0.0,0.0,0.0
1778618898.112,9195.121,0.0,0.0,0.0,0.0
1778618898.613,9195.622,0.0,0.0,0.0,0.0
1778618899.115,9196.124,0.0,0.0,0.0,0.0
1778618899.616,9196.625,0.0,0.0,0.0,0.0
1778618900.118,9197.127,0.0,0.0,0.0,0.0
1778618900.619,9197.629,0.0,0.0,0.0,0.0
1778618901.121,9198.130,0.0,0.0,0.0,0.0
1778618901.623,9198.632,0.0,0.0,0.0,0.0
1778618902.124,9199.133,0.0,0.0,0.0,0.0
1778618902.626,9199.635,0.0,0.0,0.0,0.0
1778618903.127,9200.136,0.0,0.0,0.0,0.0
1778618903.629,9200.638,0.0,0.0,0.0,0.0
1778618904.130,9201.139,0.0,0.0,0.0,0.0
1778618904.632,9201.641,0.0,0.0,0.0,0.0
1778618905.133,9202.142,0.0,0.0,0.0,0.0
1778618905.635,9202.644,0.0,0.0,0.0,0.0
1778618906.136,9203.145,0.0,0.0,0.0,0.0
1778618906.638,9203.647,0.0,0.0,0.0,0.0
1778618907.089,9204.098,0.0,0.0,0.0,0.0
1778618907.591,9204.600,0.0,0.0,0.0,0.0
1778618908.092,9205.101,0.0,0.0,0.0,0.0
1778618908.593,9205.603,0.0,0.0,0.0,0.0
1778618909.095,9206.104,0.0,0.0,0.0,0.0
1778618909.597,9206.606,0.0,0.0,0.0,0.0
1778618910.098,9207.107,0.0,0.0,0.0,0.0
1778618910.600,9207.609,0.0,0.0,0.0,0.0
1778618911.101,9208.110,0.0,0.0,0.0,0.0
1778618911.603,9208.612,0.0,0.0,0.0,0.0
1778618912.104,9209.113,0.0,0.0,0.0,0.0
1778618912.606,9209.615,0.0,0.0,0.0,0.0
1778618913.107,9210.116,0.0,0.0,0.0,0.0
1778618913.609,9210.618,0.0,0.0,0.0,0.0
1778618914.110,9211.119,0.0,0.0,0.0,0.0
1778618914.612,9211.621,0.0,0.0,0.0,0.0
1778618915.114,9212.123,0.0,0.0,0.0,0.0
1778618915.615,9212.624,0.0,0.0,0.0,0.0
1778618916.116,9213.126,0.0,0.0,0.0,0.0
1778618916.618,9213.627,0.0,0.0,0.0,0.0
1778618917.119,9214.128,0.0,0.0,0.0,0.0
1778618917.621,9214.630,0.0,0.0,0.0,0.0
1778618918.122,9215.131,0.0,0.0,0.0,0.0
1778618918.624,9215.633,0.0,0.0,0.0,0.0
1778618919.125,9216.134,0.0,0.0,0.0,0.0
1778618919.627,9216.636,0.0,0.0,0.0,0.0
1778618920.128,9217.137,0.0,0.0,0.0,0.0
1778618920.630,9217.639,0.0,0.0,0.0,0.0
1778618921.131,9218.140,0.0,0.0,0.0,0.0
1778618921.633,9218.642,0.0,0.0,0.0,0.0
1778618922.134,9219.143,0.0,0.0,0.0,0.0
1778618922.636,9219.645,0.0,0.0,0.0,0.0
1778618923.137,9220.146,0.0,0.0,0.0,0.0
1778618923.638,9220.648,0.0,0.0,0.0,0.0
1778618924.090,9221.099,0.0,0.0,0.0,0.0
1778618924.591,9221.600,0.0,0.0,0.0,0.0
1778618925.093,9222.102,0.0,0.0,0.0,0.0
1778618925.594,9222.603,0.0,0.0,0.0,0.0
1778618926.096,9223.105,0.0,0.0,0.0,0.0
1778618926.597,9223.606,0.0,0.0,0.0,0.0
1778618927.099,9224.108,0.0,0.0,0.0,0.0
1778618927.600,9224.609,0.0,0.0,0.0,0.0
1778618928.102,9225.111,0.0,0.0,0.0,0.0
1778618928.603,9225.612,0.0,0.0,0.0,0.0
1778618929.105,9226.114,0.0,0.0,0.0,0.0
1778618929.606,9226.615,0.0,0.0,0.0,0.0
1778618930.108,9227.117,0.0,0.0,0.0,0.0
1778618930.609,9227.618,0.0,0.0,0.0,0.0
1778618931.111,9228.120,0.0,0.0,0.0,0.0
1778618931.612,9228.622,0.0,0.0,0.0,0.0
1778618932.114,9229.123,0.0,0.0,0.0,0.0
1778618932.616,9229.625,0.0,0.0,0.0,0.0
1778618933.117,9230.126,0.0,0.0,0.0,0.0
1778618933.619,9230.628,0.0,0.0,0.0,0.0
1778618934.120,9231.129,0.0,0.0,0.0,0.0
1778618934.622,9231.631,0.0,0.0,0.0,0.0
1778618935.123,9232.132,0.0,0.0,0.0,0.0
1778618935.625,9232.634,0.0,0.0,0.0,0.0
1778618936.126,9233.135,0.0,0.0,0.0,0.0
1778618936.627,9233.637,0.0,0.0,0.0,0.0
1778618937.129,9234.138,0.0,0.0,0.0,0.0
1778618937.630,9234.639,0.0,0.0,0.0,0.0
1778618938.132,9235.141,0.0,0.0,0.0,0.0
1778618938.633,9235.642,0.0,0.0,0.0,0.0
1778618939.135,9236.144,0.0,0.0,0.0,0.0
1778618939.637,9236.646,0.0,0.0,0.0,0.0
1778618940.138,9237.147,0.0,0.0,0.0,0.0
1778618940.590,9237.599,0.0,0.0,0.0,0.0
1778618941.091,9238.100,0.0,0.0,0.0,0.0
1778618941.593,9238.602,0.0,0.0,0.0,0.0
1778618942.094,9239.103,0.0,0.0,0.0,0.0
1778618942.596,9239.605,0.0,0.0,0.0,0.0
1778618943.097,9240.106,0.0,0.0,0.0,0.0
1778618943.599,9240.608,0.0,0.0,0.0,0.0
1778618944.100,9241.109,0.0,0.0,0.0,0.0
1778618944.602,9241.611,0.0,0.0,0.0,0.0
1778618945.103,9242.112,0.0,0.0,0.0,0.0
1778618945.605,9242.614,0.0,0.0,0.0,0.0
1778618946.106,9243.115,0.0,0.0,0.0,0.0
1778618946.608,9243.617,0.0,0.0,0.0,0.0
1778618947.109,9244.118,0.0,0.0,0.0,0.0
1778618947.610,9244.620,0.0,0.0,0.0,0.0
1778618948.112,9245.121,0.0,0.0,0.0,0.0
1778618948.613,9245.623,0.0,0.0,0.0,0.0
1778618949.115,9246.124,0.0,0.0,0.0,0.0
1778618949.616,9246.625,0.0,0.0,0.0,0.0
1778618950.118,9247.127,0.0,0.0,0.0,0.0
1778618950.619,9247.628,0.0,0.0,0.0,0.0
1778618951.121,9248.130,0.0,0.0,0.0,0.0
1778618951.622,9248.631,0.0,0.0,0.0,0.0
1778618952.124,9249.133,0.0,0.0,0.0,0.0
1778618952.625,9249.634,0.0,0.0,0.0,0.0
1778618953.127,9250.136,0.0,0.0,0.0,0.0
1778618953.629,9250.638,0.0,0.0,0.0,0.0
1778618954.130,9251.139,0.0,0.0,0.0,0.0
1778618954.632,9251.641,0.0,0.0,0.0,0.0
1778618955.133,9252.142,0.0,0.0,0.0,0.0
1778618955.635,9252.644,0.0,0.0,0.0,0.0
1778618956.136,9253.145,0.0,0.0,0.0,0.0
1778618956.638,9253.647,0.0,0.0,0.0,0.0
1778618957.089,9254.098,0.0,0.0,0.0,0.0
1778618957.590,9254.599,0.0,0.0,0.0,0.0
1778618958.092,9255.101,0.0,0.0,0.0,0.0
1778618958.593,9255.602,0.0,0.0,0.0,0.0
1778618959.095,9256.104,0.0,0.0,0.0,0.0
1778618959.596,9256.605,0.0,0.0,0.0,0.0
1778618960.098,9257.107,0.0,0.0,0.0,0.0
1778618960.599,9257.608,0.0,0.0,0.0,0.0
1778618961.101,9258.110,0.0,0.0,0.0,0.0
1778618961.602,9258.611,0.0,0.0,0.0,0.0
1778618962.104,9259.113,0.0,0.0,0.0,0.0
1778618962.605,9259.615,0.0,0.0,0.0,0.0
1778618963.107,9260.116,0.0,0.0,0.0,0.0
1778618963.608,9260.618,0.0,0.0,0.0,0.0
1778618964.110,9261.119,0.0,0.0,0.0,0.0
1778618964.611,9261.620,0.0,0.0,0.0,0.0
1778618965.113,9262.122,0.0,0.0,0.0,0.0
1778618965.614,9262.623,0.0,0.0,0.0,0.0
1778618966.116,9263.125,0.0,0.0,0.0,0.0
1778618966.617,9263.626,0.0,0.0,0.0,0.0
1778618967.119,9264.128,0.0,0.0,0.0,0.0
1778618967.620,9264.630,0.0,0.0,0.0,0.0
1778618968.122,9265.131,0.0,0.0,0.0,0.0
1778618968.624,9265.633,0.0,0.0,0.0,0.0
1778618969.125,9266.134,0.0,0.0,0.0,0.0
1778618969.627,9266.636,0.0,0.0,0.0,0.0
1778618970.128,9267.137,0.0,0.0,0.0,0.0
1778618970.630,9267.639,0.0,0.0,0.0,0.0
1778618971.131,9268.140,0.0,0.0,0.0,0.0
1778618971.633,9268.642,0.0,0.0,0.0,0.0
1778618972.134,9269.143,0.0,0.0,0.0,0.0
1778618972.636,9269.645,0.0,0.0,0.0,0.0
1778618973.137,9270.147,0.0,0.0,0.0,0.0
1778618973.589,9270.598,0.0,0.0,0.0,0.0
1778618974.090,9271.099,0.0,0.0,0.0,0.0
1778618974.592,9271.601,0.0,0.0,0.0,0.0
1778618975.093,9272.103,0.0,0.0,0.0,0.0
1778618975.595,9272.604,0.0,0.0,0.0,0.0
1778618976.097,9273.106,0.0,0.0,0.0,0.0
1778618976.598,9273.607,0.0,0.0,0.0,0.0
1778618977.099,9274.109,0.0,0.0,0.0,0.0
1778618977.601,9274.610,0.0,0.0,0.0,0.0
1778618978.103,9275.112,0.0,0.0,0.0,0.0
1778618978.604,9275.613,0.0,0.0,0.0,0.0
1778618979.106,9276.115,0.0,0.0,0.0,0.0
1778618979.607,9276.616,0.0,0.0,0.0,0.0
1778618980.109,9277.118,0.0,0.0,0.0,0.0
1778618980.610,9277.619,0.0,0.0,0.0,0.0
1778618981.112,9278.121,0.0,0.0,0.0,0.0
1778618981.613,9278.622,0.0,0.0,0.0,0.0
1778618982.115,9279.124,0.0,0.0,0.0,0.0
1778618982.616,9279.625,0.0,0.0,0.0,0.0
1778618983.118,9280.127,0.0,0.0,0.0,0.0
1778618983.619,9280.628,0.0,0.0,0.0,0.0
1778618984.120,9281.130,0.0,0.0,0.0,0.0
1778618984.622,9281.631,0.0,0.0,0.0,0.0
1778618985.123,9282.132,0.0,0.0,0.0,0.0
1778618985.625,9282.634,0.0,0.0,0.0,0.0
1778618986.126,9283.136,0.0,0.0,0.0,0.0
1778618986.628,9283.637,0.0,0.0,0.0,0.0
1778618987.129,9284.138,0.0,0.0,0.0,0.0
1778618987.631,9284.640,0.0,0.0,0.0,0.0
1778618988.132,9285.141,0.0,0.0,0.0,0.0
1778618988.634,9285.643,0.0,0.0,0.0,0.0
1778618989.135,9286.144,0.0,0.0,0.0,0.0
1778618989.637,9286.646,0.0,0.0,0.0,0.0
1778618990.138,9287.147,0.0,0.0,0.0,0.0
1778618990.590,9287.599,0.0,0.0,0.0,0.0
1778618991.091,9288.100,0.0,0.0,0.0,0.0
1778618991.593,9288.602,0.0,0.0,0.0,0.0
1778618992.094,9289.103,0.0,0.0,0.0,0.0
1778618992.596,9289.605,0.0,0.0,0.0,0.0
1778618993.097,9290.106,0.0,0.0,0.0,0.0
1778618993.599,9290.608,0.0,0.0,0.0,0.0
1778618994.100,9291.109,0.0,0.0,0.0,0.0
1778618994.602,9291.611,0.0,0.0,0.0,0.0
1778618995.103,9292.112,0.0,0.0,0.0,0.0
1778618995.605,9292.614,0.0,0.0,0.0,0.0
1778618996.106,9293.115,0.0,0.0,0.0,0.0
1778618996.608,9293.617,0.0,0.0,0.0,0.0
1778618997.109,9294.119,0.0,0.0,0.0,0.0
1778618997.611,9294.620,0.0,0.0,0.0,0.0
1778618998.112,9295.121,0.0,0.0,0.0,0.0
1778618998.614,9295.623,0.0,0.0,0.0,0.0
1778618999.115,9296.124,0.0,0.0,0.0,0.0
1778618999.617,9296.626,0.0,0.0,0.0,0.0
1778619000.118,9297.127,0.0,0.0,0.0,0.0
1778619000.620,9297.629,0.0,0.0,0.0,0.0
1778619001.121,9298.130,0.0,0.0,0.0,0.0
1778619001.623,9298.632,0.0,0.0,0.0,0.0
1778619002.124,9299.133,0.0,0.0,0.0,0.0
1778619002.626,9299.635,0.0,0.0,0.0,0.0
1778619003.127,9300.136,0.0,0.0,0.0,0.0
1778619003.629,9300.638,0.0,0.0,0.0,0.0
1778619004.130,9301.139,0.0,0.0,0.0,0.0
1778619004.632,9301.641,0.0,0.0,0.0,0.0
1778619005.133,9302.142,0.0,0.0,0.0,0.0
1778619005.635,9302.644,0.0,0.0,0.0,0.0
1778619006.136,9303.145,0.0,0.0,0.0,0.0
1778619006.638,9303.647,0.0,0.0,0.0,0.0
1778619007.089,9304.098,0.0,0.0,0.0,0.0
1778619007.591,9304.600,0.0,0.0,0.0,0.0
1778619008.093,9305.102,0.0,0.0,0.0,0.0
1778619008.594,9305.603,0.0,0.0,0.0,0.0
1778619009.096,9306.105,0.0,0.0,0.0,0.0
1778619009.597,9306.606,0.0,0.0,0.0,0.0
1778619010.099,9307.108,0.0,0.0,0.0,0.0
1778619010.600,9307.609,0.0,0.0,0.0,0.0
1778619011.102,9308.111,0.0,0.0,0.0,0.0
1778619011.603,9308.612,0.0,0.0,0.0,0.0
1778619012.105,9309.114,0.0,0.0,0.0,0.0
1778619012.606,9309.615,0.0,0.0,0.0,0.0
1778619013.108,9310.117,0.0,0.0,0.0,0.0
1778619013.609,9310.618,0.0,0.0,0.0,0.0
1778619014.111,9311.120,0.0,0.0,0.0,0.0
1778619014.612,9311.621,0.0,0.0,0.0,0.0
1778619015.113,9312.123,0.0,0.0,0.0,0.0
1778619015.615,9312.624,0.0,0.0,0.0,0.0
1778619016.116,9313.125,0.0,0.0,0.0,0.0
1778619016.618,9313.627,0.0,0.0,0.0,0.0
