time_unix,monotonic,active,lat,lon,alt_msl,speed_ms,heading_deg,fix_type,num_sv
1778210366.897,4729.569,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210367.900,4730.572,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210368.904,4731.576,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210369.907,4732.579,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210370.912,4733.584,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210371.916,4734.588,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210372.921,4735.593,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210373.923,4736.595,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210374.926,4737.598,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210375.930,4738.602,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210376.883,4739.556,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210377.887,4740.559,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210378.890,4741.562,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210379.894,4742.566,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210380.898,4743.570,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210381.902,4744.575,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210382.905,4745.578,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210383.909,4746.582,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210384.913,4747.586,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210385.916,4748.589,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210386.920,4749.592,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210387.924,4750.596,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210388.927,4751.600,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210389.930,4752.603,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210390.885,4753.557,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210391.889,4754.561,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210392.893,4755.565,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210393.896,4756.568,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210394.899,4757.571,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210395.901,4758.574,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210396.906,4759.578,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210397.911,4760.583,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210398.915,4761.587,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210399.919,4762.591,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210400.921,4763.594,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210401.925,4764.597,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210402.927,4765.600,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210403.932,4766.604,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210404.885,4767.557,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778210405.890,4768.562,1,0.0,0.0,-17.0,0.0,0.0,0,0
