time_unix,monotonic,flight_stage,arm_state,preflight_ok,arm_checks_ok,launch_initiated,ascent_active,termination_fired,burst_detected,descent_active,landing_detected,cutdown_fired,recovery_active,data_logging_active,apogee_m
1778259618.935,1567.891,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259619.437,1568.393,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259619.938,1568.894,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259620.439,1569.395,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259620.942,1569.898,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259621.444,1570.400,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259621.946,1570.902,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259622.447,1571.403,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259622.948,1571.904,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259623.450,1572.406,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259623.952,1572.908,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259624.453,1573.409,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259624.954,1573.910,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259625.406,1574.362,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259625.908,1574.864,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259626.409,1575.365,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259626.911,1575.866,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259627.412,1576.368,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259627.914,1576.870,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259628.416,1577.372,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259628.918,1577.874,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259629.419,1578.375,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259629.921,1578.877,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259630.425,1579.381,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259630.928,1579.884,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259631.430,1580.386,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259631.931,1580.887,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259632.432,1581.388,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259632.934,1581.890,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259633.436,1582.392,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259633.937,1582.893,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259634.439,1583.395,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259634.940,1583.896,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259635.442,1584.398,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259635.943,1584.899,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259636.444,1585.400,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259636.946,1585.902,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259637.448,1586.404,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259637.950,1586.906,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259638.451,1587.407,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259638.953,1587.908,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259639.454,1588.410,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259639.905,1588.861,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259640.407,1589.363,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259640.908,1589.864,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
1778259641.410,1590.366,2,1,1,1,1,0,0,0,0,0,0,0,1,0.0
