time_unix,monotonic,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
1778616089.504,6386.513,0.0,0.0,0.0,0.0,0.0,0.0
1778616089.754,6386.763,0.0,0.0,0.0,0.0,0.0,0.0
1778616090.005,6387.014,0.0,0.0,0.0,0.0,0.0,0.0
1778616090.256,6387.265,0.0,0.0,0.0,0.0,0.0,0.0
1778616090.506,6387.516,0.0,0.0,0.0,0.0,0.0,0.0
1778616090.757,6387.766,0.0,0.0,0.0,0.0,0.0,0.0
1778616091.008,6388.017,0.0,0.0,0.0,0.0,0.0,0.0
1778616091.259,6388.268,0.0,0.0,0.0,0.0,0.0,0.0
1778616091.509,6388.518,0.0,0.0,0.0,0.0,0.0,0.0
1778616091.760,6388.769,0.0,0.0,0.0,0.0,0.0,0.0
1778616092.011,6389.020,0.0,0.0,0.0,0.0,0.0,0.0
1778616092.262,6389.271,0.0,0.0,0.0,0.0,0.0,0.0
1778616092.512,6389.521,0.0,0.0,0.0,0.0,0.0,0.0
1778616092.763,6389.772,0.0,0.0,0.0,0.0,0.0,0.0
1778616093.014,6390.023,0.0,0.0,0.0,0.0,0.0,0.0
1778616093.264,6390.274,0.0,0.0,0.0,0.0,0.0,0.0
1778616093.515,6390.524,0.0,0.0,0.0,0.0,0.0,0.0
1778616093.766,6390.775,0.0,0.0,0.0,0.0,0.0,0.0
1778616094.017,6391.026,0.0,0.0,0.0,0.0,0.0,0.0
1778616094.267,6391.276,0.0,0.0,0.0,0.0,0.0,0.0
1778616094.518,6391.527,0.0,0.0,0.0,0.0,0.0,0.0
1778616094.769,6391.778,0.0,0.0,0.0,0.0,0.0,0.0
1778616095.020,6392.029,0.0,0.0,0.0,0.0,0.0,0.0
1778616095.270,6392.279,0.0,0.0,0.0,0.0,0.0,0.0
1778616095.521,6392.530,0.0,0.0,0.0,0.0,0.0,0.0
1778616095.772,6392.781,0.0,0.0,0.0,0.0,0.0,0.0
1778616096.022,6393.032,0.0,0.0,0.0,0.0,0.0,0.0
1778616096.273,6393.282,0.0,0.0,0.0,0.0,0.0,0.0
1778616096.524,6393.533,0.0,0.0,0.0,0.0,0.0,0.0
1778616096.775,6393.784,0.0,0.0,0.0,0.0,0.0,0.0
1778616097.025,6394.035,0.0,0.0,0.0,0.0,0.0,0.0
1778616097.276,6394.285,0.0,0.0,0.0,0.0,0.0,0.0
1778616097.527,6394.536,0.0,0.0,0.0,0.0,0.0,0.0
1778616097.778,6394.787,0.0,0.0,0.0,0.0,0.0,0.0
1778616098.028,6395.037,0.0,0.0,0.0,0.0,0.0,0.0
1778616098.279,6395.288,0.0,0.0,0.0,0.0,0.0,0.0
1778616098.530,6395.539,0.0,0.0,0.0,0.0,0.0,0.0
1778616098.781,6395.790,0.0,0.0,0.0,0.0,0.0,0.0
1778616099.031,6396.040,0.0,0.0,0.0,0.0,0.0,0.0
1778616099.282,6396.291,0.0,0.0,0.0,0.0,0.0,0.0
1778616099.533,6396.542,0.0,0.0,0.0,0.0,0.0,0.0
1778616099.784,6396.793,0.0,0.0,0.0,0.0,0.0,0.0
1778616100.034,6397.043,0.0,0.0,0.0,0.0,0.0,0.0
1778616100.285,6397.294,0.0,0.0,0.0,0.0,0.0,0.0
1778616100.536,6397.545,0.0,0.0,0.0,0.0,0.0,0.0
1778616100.787,6397.796,0.0,0.0,0.0,0.0,0.0,0.0
1778616101.037,6398.046,0.0,0.0,0.0,0.0,0.0,0.0
1778616101.288,6398.297,0.0,0.0,0.0,0.0,0.0,0.0
1778616101.489,6398.498,0.0,0.0,0.0,0.0,0.0,0.0
1778616101.740,6398.749,0.0,0.0,0.0,0.0,0.0,0.0
1778616101.990,6398.999,0.0,0.0,0.0,0.0,0.0,0.0
1778616102.241,6399.250,0.0,0.0,0.0,0.0,0.0,0.0
1778616102.492,6399.501,0.0,0.0,0.0,0.0,0.0,0.0
1778616102.742,6399.752,0.0,0.0,0.0,0.0,0.0,0.0
1778616102.993,6400.002,0.0,0.0,0.0,0.0,0.0,0.0
1778616103.244,6400.253,0.0,0.0,0.0,0.0,0.0,0.0
1778616103.495,6400.504,0.0,0.0,0.0,0.0,0.0,0.0
1778616103.745,6400.754,0.0,0.0,0.0,0.0,0.0,0.0
